iter	Passed	Remaining
0	11	11097
1	21	10698
2	31	10451
3	41	10292
4	50	10127
5	60	10091
6	70	10012
7	81	10045
8	90	10007
9	100	9971
10	110	9967
11	120	9937
12	130	9914
13	140	9905
14	150	9900
15	161	9918
16	171	9927
17	182	9938
18	192	9928
19	201	9894
20	212	9885
21	221	9862
22	232	9861
23	241	9832
24	252	9828
25	261	9811
26	271	9788
27	281	9787
28	291	9771
29	301	9757
30	311	9741
31	322	9762
32	332	9751
33	342	9743
34	352	9710
35	362	9698
36	372	9685
37	381	9664
38	391	9639
39	401	9625
40	410	9609
41	420	9589
42	430	9572
43	440	9565
44	450	9550
45	460	9540
46	469	9520
47	479	9512
48	488	9489
49	498	9476
50	509	9484
51	519	9475
52	529	9455
53	539	9443
54	548	9427
55	558	9412
56	568	9398
57	577	9382
58	587	9374
59	597	9362
60	607	9345
61	617	9335
62	626	9320
63	636	9309
64	646	9303
65	656	9295
66	667	9288
67	677	9280
68	686	9265
69	696	9250
70	706	9237
71	715	9220
72	725	9212
73	735	9198
74	744	9186
75	752	9148
76	762	9135
77	772	9125
78	781	9111
79	791	9107
80	801	9094
81	811	9079
82	821	9073
83	831	9064
84	841	9056
85	851	9045
86	860	9034
87	870	9020
88	880	9008
89	889	8996
90	898	8979
91	908	8970
92	918	8962
93	929	8959
94	939	8947
95	949	8939
96	959	8929
97	968	8916
98	978	8904
99	988	8895
100	998	8889
101	1008	8878
102	1017	8864
103	1027	8853
104	1037	8842
105	1046	8828
106	1056	8819
107	1066	8809
108	1076	8798
109	1086	8789
110	1095	8776
111	1105	8763
112	1115	8753
113	1124	8742
114	1135	8735
115	1145	8728
116	1155	8719
117	1165	8712
118	1176	8707
119	1185	8696
120	1196	8690
121	1206	8682
122	1217	8677
123	1226	8666
124	1236	8657
125	1246	8645
126	1255	8632
127	1265	8621
128	1275	8610
129	1285	8602
130	1294	8590
131	1304	8578
132	1314	8567
133	1323	8554
134	1333	8544
135	1343	8535
136	1353	8527
137	1363	8516
138	1372	8501
139	1382	8491
140	1392	8481
141	1402	8473
142	1412	8463
143	1422	8455
144	1432	8447
145	1443	8440
146	1453	8431
147	1463	8422
148	1473	8413
149	1482	8403
150	1493	8399
151	1504	8391
152	1514	8382
153	1524	8373
154	1534	8364
155	1544	8354
156	1554	8344
157	1563	8332
158	1573	8322
159	1583	8311
160	1592	8301
161	1602	8290
162	1612	8281
163	1622	8269
164	1632	8261
165	1642	8250
166	1651	8239
167	1661	8229
168	1671	8217
169	1678	8193
170	1688	8185
171	1698	8174
172	1707	8163
173	1717	8152
174	1726	8141
175	1736	8130
176	1746	8119
177	1756	8109
178	1765	8099
179	1775	8088
180	1785	8077
181	1794	8066
182	1804	8056
183	1814	8046
184	1824	8036
185	1833	8025
186	1843	8015
187	1853	8004
188	1862	7993
189	1872	7983
190	1882	7972
191	1892	7962
192	1901	7950
193	1911	7943
194	1928	7960
195	1941	7964
196	1954	7967
197	1969	7978
198	1985	7992
199	1998	7993
200	2010	7993
201	2021	7986
202	2033	7982
203	2044	7978
204	2054	7969
205	2065	7961
206	2075	7952
207	2086	7943
208	2095	7931
209	2105	7922
210	2116	7913
211	2126	7904
212	2136	7895
213	2146	7885
214	2157	7877
215	2168	7870
216	2178	7861
217	2189	7852
218	2198	7840
219	2209	7833
220	2219	7823
221	2229	7813
222	2239	7804
223	2249	7794
224	2259	7783
225	2269	7772
226	2279	7762
227	2288	7749
228	2298	7739
229	2309	7732
230	2320	7723
231	2330	7715
232	2340	7704
233	2351	7697
234	2361	7687
235	2371	7676
236	2380	7665
237	2390	7654
238	2400	7643
239	2409	7631
240	2419	7620
241	2428	7607
242	2438	7596
243	2447	7584
244	2457	7573
245	2467	7563
246	2477	7553
247	2487	7543
248	2497	7532
249	2506	7520
250	2516	7509
251	2525	7496
252	2535	7486
253	2545	7475
254	2554	7464
255	2564	7453
256	2574	7441
257	2584	7432
258	2593	7420
259	2603	7410
260	2613	7398
261	2623	7388
262	2632	7378
263	2642	7367
264	2652	7357
265	2663	7348
266	2672	7337
267	2682	7327
268	2692	7315
269	2701	7303
270	2710	7291
271	2719	7279
272	2729	7268
273	2739	7257
274	2748	7246
275	2758	7235
276	2767	7224
277	2777	7212
278	2786	7202
279	2796	7191
280	2806	7181
281	2816	7171
282	2826	7161
283	2836	7150
284	2845	7138
285	2855	7127
286	2864	7116
287	2873	7104
288	2883	7093
289	2893	7082
290	2902	7072
291	2912	7062
292	2921	7050
293	2931	7040
294	2941	7029
295	2951	7019
296	2961	7008
297	2970	6998
298	2980	6988
299	2990	6977
300	3000	6967
301	3009	6956
302	3019	6946
303	3029	6936
304	3040	6928
305	3050	6919
306	3060	6908
307	3070	6897
308	3079	6886
309	3089	6876
310	3098	6865
311	3108	6854
312	3118	6844
313	3127	6833
314	3137	6822
315	3146	6811
316	3156	6800
317	3166	6790
318	3176	6781
319	3186	6770
320	3195	6759
321	3204	6748
322	3214	6737
323	3223	6726
324	3233	6715
325	3242	6704
326	3252	6693
327	3262	6683
328	3272	6674
329	3282	6663
330	3291	6652
331	3300	6641
332	3310	6630
333	3320	6621
334	3330	6610
335	3339	6599
336	3349	6588
337	3358	6578
338	3368	6567
339	3377	6557
340	3387	6546
341	3397	6536
342	3406	6524
343	3416	6514
344	3426	6505
345	3435	6494
346	3445	6483
347	3455	6473
348	3464	6463
349	3474	6452
350	3484	6442
351	3493	6431
352	3503	6421
353	3513	6411
354	3522	6400
355	3532	6390
356	3541	6379
357	3551	6368
358	3561	6358
359	3570	6347
360	3580	6337
361	3590	6327
362	3600	6317
363	3610	6307
364	3619	6296
365	3629	6286
366	3638	6275
367	3648	6265
368	3657	6255
369	3667	6244
370	3676	6233
371	3686	6223
372	3695	6212
373	3705	6202
374	3714	6191
375	3724	6181
376	3734	6171
377	3744	6161
378	3754	6151
379	3763	6140
380	3773	6130
381	3782	6119
382	3791	6108
383	3801	6098
384	3810	6087
385	3820	6076
386	3829	6066
387	3839	6055
388	3848	6045
389	3857	6034
390	3867	6024
391	3878	6015
392	3888	6005
393	3897	5995
394	3907	5984
395	3916	5973
396	3926	5963
397	3935	5952
398	3944	5941
399	3954	5931
400	3963	5920
401	3973	5910
402	3982	5899
403	3992	5889
404	4001	5879
405	4011	5868
406	4021	5859
407	4032	5850
408	4041	5840
409	4051	5830
410	4061	5820
411	4070	5809
412	4080	5799
413	4089	5788
414	4099	5778
415	4109	5768
416	4118	5758
417	4128	5748
418	4138	5738
419	4147	5727
420	4157	5718
421	4167	5708
422	4177	5698
423	4187	5688
424	4196	5677
425	4206	5667
426	4215	5657
427	4225	5646
428	4234	5636
429	4244	5625
430	4253	5615
431	4263	5605
432	4272	5595
433	4282	5584
434	4291	5574
435	4301	5564
436	4311	5554
437	4321	5544
438	4331	5534
439	4341	5525
440	4350	5515
441	4361	5505
442	4371	5496
443	4381	5486
444	4391	5476
445	4400	5466
446	4410	5455
447	4419	5445
448	4429	5435
449	4439	5425
450	4448	5415
451	4458	5405
452	4468	5395
453	4478	5385
454	4487	5375
455	4497	5365
456	4506	5354
457	4517	5345
458	4526	5335
459	4536	5325
460	4545	5314
461	4555	5304
462	4565	5294
463	4574	5284
464	4584	5274
465	4593	5264
466	4602	5253
467	4612	5242
468	4621	5232
469	4630	5221
470	4639	5211
471	4649	5201
472	4659	5191
473	4669	5181
474	4679	5172
475	4688	5161
476	4698	5151
477	4708	5141
478	4717	5131
479	4727	5121
480	4737	5111
481	4746	5101
482	4756	5091
483	4765	5081
484	4775	5071
485	4785	5060
486	4795	5051
487	4804	5040
488	4813	5030
489	4823	5020
490	4833	5010
491	4843	5000
492	4852	4990
493	4862	4980
494	4872	4970
495	4881	4960
496	4891	4950
497	4901	4940
498	4910	4929
499	4920	4920
500	4929	4910
501	4939	4900
502	4949	4890
503	4958	4880
504	4968	4870
505	4977	4859
506	4987	4849
507	4997	4840
508	5007	4830
509	5016	4819
510	5025	4809
511	5035	4799
512	5045	4789
513	5054	4779
514	5064	4769
515	5074	4759
516	5084	4749
517	5093	4739
518	5103	4730
519	5113	4720
520	5122	4709
521	5132	4699
522	5142	4690
523	5152	4680
524	5161	4669
525	5170	4659
526	5180	4649
527	5189	4639
528	5199	4629
529	5208	4618
530	5217	4608
531	5227	4598
532	5236	4588
533	5245	4577
534	5254	4567
535	5263	4556
536	5273	4546
537	5283	4537
538	5293	4527
539	5303	4517
540	5312	4507
541	5322	4497
542	5331	4487
543	5341	4477
544	5350	4466
545	5359	4456
546	5369	4446
547	5379	4436
548	5388	4426
549	5398	4416
550	5407	4406
551	5417	4397
552	5426	4386
553	5436	4376
554	5445	4366
555	5455	4356
556	5464	4346
557	5474	4336
558	5484	4326
559	5493	4316
560	5502	4306
561	5512	4296
562	5521	4285
563	5530	4275
564	5540	4265
565	5549	4255
566	5559	4245
567	5569	4235
568	5578	4225
569	5587	4215
570	5596	4204
571	5606	4194
572	5616	4185
573	5626	4175
574	5636	4165
575	5645	4155
576	5655	4145
577	5664	4135
578	5674	4126
579	5684	4116
580	5693	4106
581	5703	4096
582	5712	4086
583	5721	4075
584	5730	4065
585	5740	4055
586	5749	4045
587	5759	4035
588	5769	4025
589	5778	4015
590	5788	4006
591	5798	3995
592	5807	3986
593	5817	3976
594	5826	3966
595	5836	3956
596	5846	3946
597	5856	3936
598	5865	3926
599	5874	3916
600	5884	3906
601	5894	3896
602	5902	3886
603	5912	3876
604	5921	3866
605	5932	3856
606	5942	3847
607	5951	3836
608	5960	3826
609	5969	3816
610	5979	3807
611	5989	3797
612	5998	3786
613	6008	3777
614	6017	3766
615	6026	3756
616	6035	3746
617	6045	3736
618	6055	3727
619	6064	3717
620	6074	3707
621	6084	3697
622	6093	3687
623	6102	3677
624	6112	3667
625	6122	3657
626	6131	3647
627	6141	3637
628	6150	3627
629	6160	3617
630	6169	3607
631	6178	3597
632	6188	3587
633	6197	3577
634	6206	3567
635	6216	3557
636	6225	3547
637	6235	3537
638	6244	3527
639	6254	3517
640	6263	3508
641	6273	3498
642	6282	3487
643	6291	3477
644	6301	3468
645	6311	3458
646	6320	3448
647	6329	3438
648	6338	3428
649	6348	3418
650	6357	3408
651	6366	3398
652	6375	3388
653	6385	3378
654	6395	3368
655	6404	3358
656	6413	3348
657	6423	3338
658	6432	3328
659	6442	3318
660	6451	3308
661	6461	3298
662	6470	3288
663	6480	3279
664	6489	3268
665	6498	3259
666	6507	3248
667	6516	3238
668	6526	3228
669	6536	3219
670	6545	3209
671	6554	3199
672	6564	3189
673	6573	3179
674	6583	3169
675	6592	3159
676	6602	3150
677	6612	3140
