iter	Passed	Remaining
0	11	11535
1	22	11128
2	32	10835
3	42	10491
4	52	10448
5	63	10574
6	73	10442
7	83	10304
8	93	10348
9	107	10614
10	121	10931
11	134	11039
12	146	11126
13	163	11523
14	176	11576
15	192	11809
16	205	11860
17	218	11923
18	235	12150
19	251	12323
20	264	12349
21	279	12404
22	292	12404
23	304	12382
24	317	12371
25	331	12429
26	352	12703
27	384	13363
28	406	13609
29	431	13935
30	446	13949
31	459	13905
32	472	13849
33	484	13770
34	504	13897
35	515	13811
36	528	13751
37	539	13658
38	548	13526
39	558	13409
40	570	13348
41	584	13340
42	597	13295
43	609	13235
44	621	13180
45	636	13191
46	646	13098
47	655	12995
48	664	12896
49	676	12846
50	687	12800
51	700	12773
52	712	12732
53	726	12727
54	739	12707
55	750	12646
56	760	12576
57	774	12575
58	787	12556
59	798	12515
60	812	12506
61	825	12482
62	840	12500
63	850	12444
64	861	12391
65	872	12345
66	883	12307
67	896	12293
68	909	12270
69	921	12239
70	933	12216
71	945	12190
72	956	12140
73	966	12090
74	976	12045
75	986	11999
76	996	11942
77	1005	11885
78	1014	11830
79	1024	11780
80	1033	11721
81	1042	11666
82	1051	11612
83	1060	11569
84	1069	11517
85	1079	11474
86	1089	11432
87	1099	11392
88	1108	11349
89	1118	11308
90	1128	11273
91	1138	11235
92	1148	11196
93	1157	11160
94	1166	11114
95	1175	11070
96	1191	11094
97	1206	11108
98	1219	11097
99	1237	11138
100	1248	11112
101	1262	11113
102	1289	11225
103	1302	11224
104	1314	11205
105	1326	11185
106	1337	11164
107	1348	11139
108	1358	11101
109	1369	11078
110	1382	11074
111	1393	11046
112	1404	11024
113	1413	10987
114	1422	10949
115	1432	10916
116	1441	10876
117	1450	10838
118	1458	10800
119	1467	10764
120	1473	10707
121	1482	10670
122	1491	10634
123	1500	10598
124	1509	10563
125	1518	10531
126	1526	10496
127	1535	10461
128	1544	10427
129	1553	10393
130	1561	10360
131	1570	10327
132	1579	10299
133	1588	10266
134	1597	10238
135	1606	10205
136	1615	10174
137	1624	10144
138	1632	10113
139	1640	10080
140	1650	10052
141	1658	10022
142	1667	9994
143	1676	9965
144	1684	9935
145	1694	9909
146	1703	9886
147	1713	9864
148	1722	9840
149	1731	9814
150	1740	9787
151	1749	9759
152	1758	9734
153	1766	9706
154	1775	9680
155	1784	9654
156	1793	9631
157	1802	9607
158	1811	9583
159	1821	9562
160	1831	9542
161	1840	9518
162	1849	9494
163	1858	9471
164	1866	9446
165	1875	9422
166	1883	9396
167	1892	9374
168	1901	9350
169	1910	9326
170	1915	9287
171	1924	9265
172	1934	9246
173	1943	9224
174	1951	9202
175	1960	9179
176	1969	9156
177	1977	9134
178	1987	9114
